Customer_ID,final_churn_probability,Risk_Level,Primary_Reason
CID01495,0.7713479,High Risk,Win_Rate
CID00022,0.69033694,Medium Risk,Avg_Trade_Return
CID01408,0.6747926,Medium Risk,Win_Rate
CID01069,0.66633344,Medium Risk,Win_Rate
CID01726,0.64939034,Medium Risk,Win_Rate
CID01272,0.6447087,Medium Risk,Win_Rate
CID00227,0.6416067,Medium Risk,Win_Rate
CID01427,0.63684267,Medium Risk,Account_Age
CID01630,0.6261767,Medium Risk,Win_Rate
CID00188,0.6226439,Medium Risk,Push_Click_Rate
CID00805,0.61950034,Medium Risk,Win_Rate
CID01117,0.617821,Medium Risk,Avg_Trade_Return
CID00312,0.6127702,Medium Risk,Win_Rate
CID00610,0.60955954,Medium Risk,Win_Rate
CID01219,0.60600656,Medium Risk,Avg_Trade_Return
CID01708,0.5972925,Medium Risk,Win_Rate
CID00166,0.59588253,Medium Risk,Win_Rate
CID00874,0.59313035,Medium Risk,Win_Rate
CID01530,0.5922846,Medium Risk,Avg_Trade_Return
CID01709,0.58487564,Medium Risk,Win_Rate
CID01478,0.58077776,Medium Risk,Win_Rate
CID01701,0.57709736,Medium Risk,Win_Rate
CID00885,0.5751602,Medium Risk,Avg_Trade_Return
CID01619,0.5736721,Medium Risk,Win_Rate
CID00311,0.5705625,Medium Risk,Account_Age
CID01881,0.5704609,Medium Risk,Drawdown
CID00761,0.5689089,Medium Risk,Avg_Trade_Return
CID00479,0.56394887,Medium Risk,Avg_Trade_Return
CID01670,0.5603626,Medium Risk,Win_Rate
CID00275,0.5570083,Medium Risk,Win_Rate
CID01733,0.555951,Medium Risk,Win_Rate
CID00012,0.555486,Medium Risk,Win_Rate
CID01321,0.5521975,Medium Risk,Drawdown
CID00869,0.54958594,Medium Risk,Push_Click_Rate
CID00265,0.54560953,Medium Risk,Avg_Trade_Return
CID00034,0.5432429,Medium Risk,Win_Rate
CID00231,0.54266375,Medium Risk,Avg_Trade_Return
CID01985,0.5343116,Medium Risk,Win_Rate
CID01696,0.53081584,Medium Risk,Email_Open_Rate
CID00701,0.5297033,Medium Risk,Win_Rate
CID01947,0.5287832,Medium Risk,Avg_Trade_Return
CID01000,0.52811784,Medium Risk,Avg_Trade_Return
CID01176,0.5199386,Medium Risk,Win_Rate
CID01999,0.5198774,Medium Risk,Drawdown
CID00896,0.5177338,Medium Risk,Win_Rate
CID01016,0.5107885,Medium Risk,Account_Age
CID00990,0.5097218,Medium Risk,Avg_Trade_Return
CID00957,0.504866,Medium Risk,Push_Click_Rate
CID01579,0.5044503,Medium Risk,Win_Rate
CID00488,0.50305885,Medium Risk,Avg_Trade_Return
CID00360,0.49765393,Medium Risk,Push_Click_Rate
CID01294,0.49600023,Medium Risk,Win_Rate
CID00419,0.49598494,Medium Risk,Push_Click_Rate
CID01725,0.49175778,Medium Risk,Win_Rate
CID00867,0.48688918,Medium Risk,Win_Rate
CID01759,0.48607254,Medium Risk,Win_Rate
CID00201,0.485886,Medium Risk,Account_Age
CID00085,0.48459876,Medium Risk,Win_Rate
CID00096,0.4845739,Medium Risk,Win_Rate
CID00987,0.47454318,Medium Risk,Win_Rate
CID01123,0.47440353,Medium Risk,Account_Age
CID01773,0.47272196,Medium Risk,Avg_Trade_Return
CID01863,0.47007084,Medium Risk,Avg_Trade_Return
CID01592,0.46967554,Medium Risk,Win_Rate
CID00981,0.46948764,Medium Risk,Win_Rate
CID01558,0.46914977,Medium Risk,Account_Age
CID01001,0.45687136,Medium Risk,Win_Rate
CID00958,0.452767,Medium Risk,Win_Rate
CID00330,0.45211327,Medium Risk,Win_Rate
CID00604,0.45210537,Medium Risk,Account_Age
CID00700,0.45100227,Medium Risk,Engagement_Score
CID01273,0.45021,Medium Risk,Drawdown
CID00403,0.4490257,Medium Risk,Push_Click_Rate
CID00557,0.44890082,Medium Risk,Push_Click_Rate
CID01694,0.4483929,Medium Risk,Avg_Trade_Return
CID00567,0.44600138,Medium Risk,Win_Rate
CID01751,0.44585022,Medium Risk,Email_Open_Rate
CID00946,0.44437286,Medium Risk,Avg_Trade_Return
CID01717,0.44410166,Medium Risk,Win_Rate
CID00138,0.4435231,Medium Risk,PnL_Percent
CID00580,0.4370895,Medium Risk,Avg_Trade_Return
CID01191,0.43613407,Medium Risk,Avg_Trade_Return
CID00247,0.4315012,Medium Risk,Avg_Trade_Return
CID01347,0.43054894,Medium Risk,Drawdown
CID01969,0.42924857,Medium Risk,Drawdown
CID01885,0.4276957,Medium Risk,Win_Rate
CID00445,0.42675826,Medium Risk,Win_Rate
CID00952,0.42637774,Medium Risk,Email_Open_Rate
CID00210,0.4259795,Medium Risk,Win_Rate
CID00167,0.4250417,Medium Risk,Push_Click_Rate
