Customer_ID,Account_Age,Segment,Trades_7D,Trades_30D,Login_7D,Login_30D,Deposits,Withdrawals,Portfolio_Value,Invested_Amount,Avg_Trade_Return,Win_Rate,Drawdown,Email_Open_Rate,Push_Click_Rate,Exit_Label
CID00001,44,Active Trader,14,52,12,36,15458.21,2613.71,89609.35,89842.04,-0.01718,0.7094,0.0696,0.4168,0.2287,1
CID00002,19,Retail,1,8,4,11,2348.05,1320.17,9727.95,8486.15,-0.00615,0.5921,0.1689,0.3264,0.0873,0
CID00003,27,Active Trader,21,61,12,39,36167.26,4012.57,86685.22,66837.8,-0.00049,0.6078,0.1923,0.1637,0.149,0
CID00004,47,HNI,4,17,1,14,569381.12,71703.49,985465.11,1063615.77,0.00722,0.4852,0.0418,0.0791,0.3107,1
CID00005,25,Retail,2,8,2,11,3721.61,964.3,15582.64,13657.77,0.02725,0.627,0.0889,0.1031,0.0955,1
CID00006,26,Retail,1,3,2,10,2999.64,899.25,6960.22,5512.95,-0.00727,0.4702,0.0296,0.2647,0.0707,0
CID00007,37,Retail,1,6,8,10,5200.6,3598.29,18184.49,17223.01,0.03044,0.4182,0.1247,0.0789,0.2525,0
CID00008,25,Active Trader,16,48,12,42,302926.38,108101.5,141567.71,147097.68,0.01224,0.419,0.0183,0.416,0.1485,0
CID00009,17,Retail,3,8,1,16,1439.2,628.37,5794.67,3726.85,-0.01137,0.9106,0.0396,0.1145,0.1285,0
CID00010,36,Active Trader,17,76,8,30,24434.14,4954.38,85671.86,79004.58,-0.00484,0.6195,0.188,0.3951,0.2382,1
CID00011,49,Active Trader,17,66,17,47,21261.67,1177.97,151336.21,173246.34,0.00205,0.4324,0.273,0.5512,0.0377,0
CID00012,33,Retail,1,4,3,12,3392.86,1462.05,12590.31,11359.49,-0.02656,0.2677,0.2456,0.219,0.2901,1
CID00013,25,HNI,6,24,3,12,158966.35,32179.65,439554.88,473721.27,0.03214,0.4638,0.1657,0.5805,0.3329,0
CID00014,16,Retail,0,13,3,16,3914.27,537.15,27900.0,22584.77,0.0194,0.3412,0.1333,0.1395,0.3113,1
CID00015,4,Active Trader,18,60,13,29,59798.44,25748.54,271315.37,228070.74,0.01132,0.7799,0.115,0.4616,0.1554,0
CID00016,25,Active Trader,22,47,18,36,11682.99,7070.16,91590.13,65348.05,0.03961,0.3318,0.0951,0.4206,0.3932,0
CID00017,9,Retail,1,7,4,12,2668.43,791.64,23472.53,19859.56,0.01244,0.6925,0.0834,0.2191,0.0737,0
CID00018,11,Retail,3,6,3,14,9311.94,1012.48,30097.66,32385.95,-0.00503,0.5355,0.1808,0.3513,0.0572,0
CID00019,37,Active Trader,13,68,12,49,26662.65,5634.25,104884.27,96069.82,0.01977,0.3217,0.0525,0.0685,0.291,0
CID00020,63,HNI,4,19,5,13,285941.86,33405.5,1026188.49,804735.05,-0.00983,0.4185,0.2309,0.5115,0.102,0
